Username,Issue,PR-author,BugReport-author,Commented,Reviewer,Fix-type,Pattern-Structure,Downstream-driven-fix,Scenario
pv,scipy/scipy#5201,False,False,True,False,PF4,PS1,True,85
cpaulik,TUW-GEO/pytesmo#51,False,True,False,False,PF4,PS1,True,85
cpaulik,TUW-GEO/pytesmo#52,True,False,False,False,PF4,PS1,True,85
mdboom,matplotlib/matplotlib#4855,False,True,False,False,PF4,PS2,True,4
tacaswell,matplotlib/matplotlib#4855,False,False,True,False,PF4,PS2,True,4
efiring,matplotlib/matplotlib#4855,False,False,True,False,PF4,PS2,True,4
WeatherGod,matplotlib/matplotlib#4855,False,False,True,False,PF4,PS2,True,4
dopplershift,matplotlib/matplotlib#4855,False,False,True,False,PF4,PS2,True,4
mdboom,matplotlib/matplotlib#5440,True,False,True,False,PF4,PS2,True,4
tacaswell,matplotlib/matplotlib#5440,False,False,True,False,PF4,PS2,True,4
WeatherGod,matplotlib/matplotlib#5440,False,False,True,False,PF4,PS2,True,4
efiring,matplotlib/matplotlib#5440,False,False,True,False,PF4,PS2,True,4
jenshnielsen,matplotlib/matplotlib#5440,False,False,True,False,PF4,PS2,True,4
mdboom,astropy/astropy#4030,True,False,True,False,PF4,PS2,True,4
embray,astropy/astropy#4030,False,False,True,False,PF4,PS2,True,4
NicolasTr,scipy/scipy#2636,False,True,True,False,PF4,PS2,True,80
WarrenWeckesser,scipy/scipy#2636,False,False,True,False,PF4,PS2,True,80
ghost,scipy/scipy#2636,False,False,True,False,PF4,PS2,True,80
pv,scipy/scipy#2636,False,False,True,False,PF4,PS2,True,80
ghost,scipy/scipy#2672,True,False,True,False,PF4,PS2,True,80
rgommers,scipy/scipy#2672,False,False,True,False,PF4,PS2,True,80
NicolasTr,scikit-learn/scikit-learn#2148,True,False,True,False,PF4,PS2,True,80
glouppe,scikit-learn/scikit-learn#2148,False,False,True,False,PF4,PS2,True,80
mblondel,scikit-learn/scikit-learn#2148,False,False,True,False,PF4,PS2,True,80
GaelVaroquaux,scikit-learn/scikit-learn#2148,False,False,True,False,PF4,PS2,True,80
NicolasTr,scikit-learn/scikit-learn#2262,True,False,False,False,PF4,PS2,True,80
glouppe,scikit-learn/scikit-learn#2262,False,False,True,False,PF4,PS2,True,80
mdboom,numpy/numpy#2747,True,False,True,False,PF2,PS3,False,6
njsmith,numpy/numpy#2747,False,False,True,False,PF2,PS3,False,6
astrofrog,numpy/numpy#2747,False,False,True,False,PF2,PS3,False,6
astrofrog,astropy/astropy#465,False,True,True,False,PF2,PS3,False,6
mdboom,astropy/astropy#465,False,False,True,False,PF2,PS3,False,6
chrisidefix,ipython/pickleshare#8,False,True,True,False,PF2,PS3,False,1
Gaszc,ipython/pickleshare#8,False,False,True,False,PF2,PS3,False,1
Peque,ipython/pickleshare#8,False,False,True,False,PF2,PS3,False,1
cdeil,ipython/pickleshare#8,False,False,True,False,PF2,PS3,False,1
jjstickel,ipython/pickleshare#8,False,False,True,False,PF2,PS3,False,1
nikolas,ipython/pickleshare#8,False,False,True,False,PF2,PS3,False,1
Carreau,ipython/pickleshare#8,False,False,True,False,PF2,PS3,False,1
minrk,ipython/pickleshare#8,False,False,True,False,PF2,PS3,False,1
Peque,ipython/pickleshare#9,True,False,False,False,PF2,PS3,False,1
chrisidefix,ipython/pickleshare#9,False,False,True,False,PF2,PS3,False,1
chrisidefix,ipython/ipython#8776,False,True,True,False,PF2,PS3,False,1
Carreau,ipython/ipython#8776,False,False,True,False,PF2,PS3,False,1
beckermr,numpy/numpy#6467,False,True,True,False,PF2,PS3,False,2
esheldon,numpy/numpy#6467,False,False,True,False,PF2,PS3,False,2
seberg,numpy/numpy#6467,False,False,True,False,PF2,PS3,False,2
juliantaylor,numpy/numpy#6467,False,False,True,False,PF2,PS3,False,2
charris,numpy/numpy#6467,False,False,True,False,PF2,PS3,False,2
ahaldane,numpy/numpy#6467,False,False,True,False,PF2,PS3,False,2
danielsf,numpy/numpy#6467,False,False,True,False,PF2,PS3,False,2
JohnLonginotto,numpy/numpy#6467,False,False,True,False,PF2,PS3,False,2
dkirkby,numpy/numpy#6467,False,False,True,False,PF2,PS3,False,2
embray,numpy/numpy#6467,False,False,True,False,PF2,PS3,False,2
mhvk,numpy/numpy#6467,False,False,True,False,PF2,PS3,False,2
ahaldane,numpy/numpy#6562,True,False,True,False,PF2,PS3,False,2
charris,numpy/numpy#6562,False,False,True,False,PF2,PS3,False,2
embray,numpy/numpy#6562,False,False,True,False,PF2,PS3,False,2
michaelaye,astropy/astropy#4259,False,True,True,False,PF2,PS3,False,2
embray,astropy/astropy#4259,False,False,True,False,PF2,PS3,False,2
mhvk,astropy/astropy#4259,False,False,True,False,PF2,PS3,False,2
esheldon,astropy/astropy#4259,False,False,True,False,PF2,PS3,False,2
beckermr,numpy/numpy#6467,False,True,True,False,PF2,PS3,False,2
esheldon,numpy/numpy#6467,False,False,True,False,PF2,PS3,False,2
seberg,numpy/numpy#6467,False,False,True,False,PF2,PS3,False,2
juliantaylor,numpy/numpy#6467,False,False,True,False,PF2,PS3,False,2
charris,numpy/numpy#6467,False,False,True,False,PF2,PS3,False,2
ahaldane,numpy/numpy#6467,False,False,True,False,PF2,PS3,False,2
danielsf,numpy/numpy#6467,False,False,True,False,PF2,PS3,False,2
JohnLonginotto,numpy/numpy#6467,False,False,True,False,PF2,PS3,False,2
dkirkby,numpy/numpy#6467,False,False,True,False,PF2,PS3,False,2
embray,numpy/numpy#6467,False,False,True,False,PF2,PS3,False,2
mhvk,numpy/numpy#6467,False,False,True,False,PF2,PS3,False,2
ahaldane,numpy/numpy#6562,True,False,True,False,PF2,PS3,False,2
charris,numpy/numpy#6562,False,False,True,False,PF2,PS3,False,2
embray,numpy/numpy#6562,False,False,True,False,PF2,PS3,False,2
weatherfrog,scipy/scipy#5397,False,True,True,False,PF2,PS3,False,2
charris,scipy/scipy#5397,False,False,True,False,PF2,PS3,False,2
rgommers,scipy/scipy#5397,False,False,True,False,PF2,PS3,False,2
bretter,scipy/scipy#3025,False,True,True,False,PF2,PS3,False,13
rgommers,scipy/scipy#3025,False,False,True,False,PF2,PS3,False,13
pv,scipy/scipy#3025,False,False,True,False,PF2,PS3,False,13
thouis,scipy/scipy#3025,False,False,True,False,PF2,PS3,False,13
thouis,scipy/scipy#3033,True,False,True,False,PF2,PS3,False,13
juliantaylor,scipy/scipy#3033,False,False,True,False,PF2,PS3,False,13
pv,scipy/scipy#3033,False,False,True,False,PF2,PS3,False,13
haroldn,scikit-learn/scikit-learn#1968,False,True,False,False,PF2,PS3,False,13
juliantaylor,scikit-learn/scikit-learn#1968,False,False,True,False,PF2,PS3,False,13
arjoly,scikit-learn/scikit-learn#1968,False,False,True,False,PF2,PS3,False,13
jschueller,sphinx-doc/sphinx#1822,False,True,True,False,PF2,PS3,False,25
christianbrodbeck,sphinx-doc/sphinx#1822,False,False,True,False,PF2,PS3,False,25
lsaffre,sphinx-doc/sphinx#1822,False,False,True,False,PF2,PS3,False,25
shoyer,sphinx-doc/sphinx#1822,False,False,True,False,PF2,PS3,False,25
amueller,sphinx-doc/sphinx#1822,False,False,True,False,PF2,PS3,False,25
larsoner,sphinx-doc/sphinx#1892,True,False,True,False,PF2,PS3,False,25
jschueller,sphinx-doc/sphinx#1892,False,False,True,False,PF2,PS3,False,25
