GitHub-Issue,PR,Fix-type,Pattern-Structure,Downstream-driven-fix,Scenario,ID
numpy/numpy#4494,True,PF2,PS5,False,53,PS5-5
astropy/astropy#1987,False,PF2,PS5,False,53,PS5-5
astropy/astroquery#481,True,PF2,PS5,False,55,PS5-6
astropy/astropy#3399,False,PF2,PS5,False,55,PS5-6
numpy/numpy#5962,True,PF2,PS5,False,70,PS5-7
astropy/astropy#3848,False,PF2,PS5,False,70,PS5-7
scikit-learn/scikit-learn#3277,True,PF2,PS5,False,76,PS5-8
mne-tools/mne-python#1401,False,PF2,PS5,False,76,PS5-8
scipy/scipy#4142,True,PF8,PS6,False,8,PS6-1
scikit-learn/scikit-learn#2986,False,PF8,PS6,False,8,PS6-1
scikit-learn/scikit-learn#3853,True,PF8,PS6,False,8,PS6-1
joblib/joblib#214,True,PF4,PS6,True,9,PS6-2
scikit-learn/scikit-learn#4597,False,PF4,PS6,True,9,PS6-2
scikit-learn/scikit-learn#4684,True,PF4,PS6,True,9,PS6-2
numpy/numpy#6936,True,PF5,PS6,True,21,PS6-3
scipy/scipy#5629,False,PF5,PS6,True,21,PS6-3
scipy/scipy#5661,True,PF5,PS6,True,21,PS6-3
numpy/numpy#4602,True,PF6,PS6,False,24,PS6-4
scipy/scipy#3306,False,PF6,PS6,False,24,PS6-4
scipy/scipy#3534,True,PF6,PS6,False,24,PS6-4
numpy/numpy#5316,True,PS4,PS6,False,37,PS6-5
scipy/scipy#4168,False,PS4,PS6,False,37,PS6-5
scipy/scipy#4241,True,PS4,PS6,False,37,PS6-5
joblib/joblib#192,False,PF4,PS7,True,19,PS7-1
scikit-learn/scikit-learn#3596,False,PF4,PS7,True,19,PS7-1
scikit-learn/scikit-learn#5355,True,PF4,PS7,True,19,PS7-1
codemirror/codemirror5#332,False,PF4,PS7,True,16,PS7-2
ipython/ipython#3375,False,PF4,PS7,True,16,PS7-2
ipython/ipython#3378,True,PF4,PS7,True,16,PS7-2
pandas-dev/pandas#4737,False,PF4,PS7,True,33,PS7-3
astropy/astropy#1156,False,PF4,PS7,True,33,PS7-3
astropy/astropy#3729,True,PF4,PS7,True,33,PS7-3
liberfa/erfa#4,False,PF8,PS7,False,64,PS7-4
astropy/astropy#1031,False,PF8,PS7,False,64,PS7-4
astropy/astropy#2497,True,PF8,PS7,False,64,PS7-4
pypa/pip#2256,False,PF4,PS10,True,20,PS10-1
scipy/scipy#4512,True,PF4,PS10,True,20,PS10-1
pypa/pip#2256,False,PF4,PS10,True,20,PS10-2
numpy/numpy#5556,True,PF4,PS10,True,20,PS10-2
numpy/numpy#7330,False,PF4,PS10,True,132,PS10-3
astropy/astropy#4658,True,PF4,PS10,True,132,PS10-3
numpy/numpy#4564,False,PF4,PS10,True,42,PS10-4
astropy/astropy#2251,True,PF4,PS10,True,42,PS10-4
python-pillow/Pillow#990,False,PF4,PS10,True,47,PS10-5
scipy/scipy#4041,True,PF4,PS10,True,47,PS10-5
GalSim-developers/GalSim#586,False,PF4,PS10,True,48,PS10-6
astropy/astropy#2750,True,PF4,PS10,True,48,PS10-6
mathjax/MathJax#795,False,PF1,PS10,True,56,PS10-7
astropy/astropy#2286,True,PF1,PS10,True,56,PS10-7
mathjax/MathJax#795,False,PF2,PS12,False,56,PS12-1
ipython/ipython#5533,False,PF2,PS12,False,56,PS12-1
ContinuumIO/anaconda-issues#650,False,PF5,PS13,True,59,PS13-1
scipy/scipy#5882,False,PF5,PS13,True,59,PS13-1
wesleybowman/UTide#30,False,PF5,PS13,True,59,PS13-1
wesleybowman/UTide#34,True,PF5,PS13,True,59,PS13-1
numpy/numpy#5895,False,PF5,PS14,True,72,PS14-1
scipy/scipy#4895,False,PF5,PS14,True,72,PS14-1
scipy/scipy#4896,True,PF5,PS14,True,72,PS14-1
nipy/dipy#611,False,PF5,PS14,True,72,PS14-1
nipy/dipy#612,True,PF5,PS14,True,72,PS14-1
scipy/scipy#452,True,PF2,PS13,False,79,PS3-16
